Apples,Bananas,Beef,Bread,Butter,Carrots,Cereal,Cheese,Chicken,Chips,Coffee,Cookies,Eggs,Fish,Flour,Ice Cream,Juice,Milk,Oil,Onions,Pasta,Pepper,Potatoes,Rice,Salt,Soda,Sugar,Tea,Tomatoes,Yogurt,chips
False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False
True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True
False,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,True,False,False
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,True
False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
